basket_id,open_time,symbol,direction,open_level,ema_fast,ema_trend,ema_sep,ema_sep_atr,ema_slope,atr,adx,grid_center,dist_ema_trend_atr,spread_points,hour,dow,roll_wr,roll_pf,roll_n,ema_slope_accel,adx_accel,atr_expansion_rate,consecutive_same_dir,dist_ema_abs,impulse_score,adx_x_atr_expand,slope_x_consec,impulse_x_dist,close_time,profit,exit_reason,hit_tp,hit_bsl,mae,mfe,bars_alive,max_depth,label_class,y_steamroller,y_fail
1,2018.01.02 02:07:00,EURUSD,BUY,1,1.20160,1.20095,0.00065,2.8663,-0.00003,0.00023,21.82,1.20165,1.1855,19,2,2,0.0000,0.0000,0,0.0,0.0,0.0,1,1.1855,0.7964,0.0,0.0,0.9441,2018.01.02 08:39:15,10.06,BASKET_TP,1,0,-1.64,10.06,78,3,winner,0,0
2,2018.01.02 11:58:39,EURUSD,BUY,1,1.20650,1.20445,0.00204,5.2128,-0.00002,0.00039,19.37,1.20656,4.0961,1,11,2,1.0000,99.0000,1,1e-05,-2.45,0.695652,2,4.0961,9.0805,0.0,0.2,37.1948,2018.01.03 19:10:42,-25.29,BASKET_SL,0,1,-25.29,7.26,375,5,steamroller_bsl,1,1
3,2018.01.03 20:28:35,EURUSD,SELL,1,1.20186,1.20230,-0.00044,-1.2335,0.00003,0.00036,19.09,1.20185,0.1393,1,20,3,0.5000,0.3978,2,5e-05,-0.28,-0.076923,1,0.1393,1.0348,0.0,0.5,0.1442,2018.01.05 14:12:41,10.10,BASKET_TP,1,0,-16.65,10.10,501,5,winner,0,0
4,2018.01.05 16:01:17,EURUSD,SELL,1,1.20340,1.20468,-0.00128,-2.0713,0.00002,0.00062,22.79,1.20338,-1.2176,1,16,5,0.6667,0.7972,3,-1e-05,3.7,0.722222,2,1.2176,16.0266,2.672222,0.2,19.514,2018.01.08 08:44:17,10.19,BASKET_TP,1,0,-2.11,10.19,200,2,winner,0,0
5,2018.01.08 10:04:38,EURUSD,SELL,1,1.19917,1.20115,-0.00198,-7.8209,-0.00002,0.00025,24.71,1.19917,-6.8382,1,10,1,0.7500,1.2001,4,-4e-05,1.92,-0.596774,3,6.8382,7.4496,0.0,1.2,50.9415,2018.01.08 12:42:34,10.00,BASKET_TP,1,0,-5.05,10.00,32,5,winner,0,0
6,2018.01.08 15:50:38,EURUSD,SELL,1,1.19688,1.19853,-0.00166,-4.7019,0.00002,0.00035,26.56,1.19686,-3.7570,1,15,1,0.8000,1.5955,5,4e-05,1.85,0.4,4,3.757,11.0392,0.74,1.6,41.4745,2018.01.09 08:09:40,10.07,BASKET_TP,1,0,-1.90,10.07,195,3,winner,0,0
7,2018.01.09 12:16:00,EURUSD,SELL,1,1.19290,1.19440,-0.00150,-5.6143,0.00003,0.00027,24.04,1.19286,-4.6169,1,12,2,0.8333,1.9937,6,1e-05,-2.52,-0.228571,5,4.6169,3.7542,0.0,0.5,17.3329,2018.01.10 10:44:32,-25.49,BASKET_SL,0,1,-25.49,3.54,269,5,steamroller_bsl,1,1
8,2018.01.10 13:01:30,EURUSD,BUY,1,1.20006,1.19677,0.00328,5.5386,-0.00003,0.00059,26.36,1.20010,4.3468,1,13,3,0.7143,0.9929,7,-6e-05,2.32,1.185185,1,4.3468,18.6786,2.74963,0.6,81.1919,2018.01.11 12:50:40,10.03,BASKET_TP,1,0,-24.62,10.03,286,5,winner,0,1
9,2018.01.11 16:49:40,EURUSD,BUY,1,1.20440,1.20050,0.00391,6.7153,-0.00002,0.00058,27.59,1.20437,5.3678,1,16,4,0.7500,1.1904,8,1e-05,1.23,-0.016949,2,5.3678,4.902,0.0,0.2,26.3127,2018.01.12 08:35:42,10.19,BASKET_TP,1,0,-0.99,10.19,190,2,winner,0,0
10,2018.01.12 13:30:17,EURUSD,BUY,1,1.21335,1.21047,0.00288,6.7292,0.00007,0.00043,29.78,1.21327,5.5020,1,13,5,0.7778,1.3911,9,9e-05,2.19,-0.258621,3,5.502,8.1555,0.0,2.7,44.8716,2018.01.12 14:29:38,10.00,BASKET_TP,1,0,-4.08,10.00,11,4,winner,0,0
11,2018.01.12 16:30:38,EURUSD,BUY,1,1.21436,1.21225,0.00211,3.1166,0.00012,0.00068,23.47,1.21436,2.0981,1,16,5,0.8000,1.5880,10,5e-05,-6.31,0.581395,4,2.0981,8.8385,0.0,2.0,18.544,2018.01.12 18:36:15,10.16,BASKET_TP,1,0,-2.23,10.16,25,3,winner,0,0
12,2018.01.14 23:57:35,EURUSD,BUY,1,1.21974,1.21741,0.00233,5.9025,-0.00001,0.00039,14.26,1.21978,4.5869,1,23,0,0.8182,1.7881,11,-0.00013,-9.21,-0.426471,5,4.5869,4.9467,0.0,6.5,22.6901,2018.01.15 10:32:46,10.10,BASKET_TP,1,0,-0.48,10.10,127,1,winner,0,0
13,2018.01.15 11:47:19,EURUSD,BUY,1,1.22659,1.22352,0.00308,4.4623,-0.00004,0.00069,21.99,1.22664,3.3551,1,11,1,0.8333,1.9870,12,-3e-05,7.73,0.769231,6,3.3551,27.2911,5.946154,1.8,91.5643,2018.01.16 19:17:21,10.09,BASKET_TP,1,0,-20.31,10.09,378,4,winner,0,1
14,2018.01.16 21:00:00,EURUSD,BUY,1,1.22679,1.22494,0.00185,5.6261,-0.00002,0.00033,25.64,1.22683,4.5127,2,21,2,0.8462,2.1857,13,2e-05,3.65,-0.521739,7,4.5127,12.1282,0.0,1.4,54.7308,2018.01.17 00:47:19,10.00,BASKET_TP,1,0,-1.97,10.00,45,3,winner,0,0
15,2018.01.17 02:19:17,EURUSD,BUY,1,1.22874,1.22697,0.00177,2.8593,-0.00004,0.00062,16.93,1.22882,1.7889,1,2,3,0.8571,2.3826,14,-2e-05,-8.71,0.878788,8,1.7889,13.4351,0.0,1.6,24.0341,2018.01.17 11:58:14,-25.00,BASKET_SL,0,1,-25.00,2.16,116,4,steamroller_bsl,1,1
16,2018.01.17 14:06:15,EURUSD,SELL,1,1.22151,1.22273,-0.00122,-1.8491,0.00005,0.00066,27.92,1.22151,-0.8494,1,14,3,0.8000,1.5966,15,9e-05,10.99,0.064516,1,0.8494,24.2375,0.709032,0.9,20.5873,2018.01.17 21:21:05,10.06,BASKET_TP,1,0,-22.62,10.06,87,4,winner,0,1
17,2018.01.18 00:03:05,EURUSD,SELL,1,1.21845,1.22114,-0.00268,-6.6020,-0.00005,0.00041,27.69,1.21853,-5.2296,1,0,4,0.8125,1.7293,16,-0.0001,-0.23,-0.378788,2,5.2296,3.3074,0.0,2.0,17.2964,2018.01.18 12:12:21,-25.02,BASKET_SL,0,1,-25.02,9.28,146,5,steamroller_bsl,1,1
18,2018.01.18 15:31:41,EURUSD,BUY,1,1.22505,1.22324,0.00181,3.0035,-0.00001,0.00060,21.86,1.22495,1.8625,1,15,4,0.7647,1.3001,17,4e-05,-5.83,0.463415,1,1.8625,5.9998,0.0,0.4,11.1746,2018.01.19 00:24:53,10.01,BASKET_TP,1,0,-6.14,10.01,106,5,winner,0,0
19,2018.01.19 00:35:27,EURUSD,BUY,1,1.22433,1.22387,0.00046,1.0605,0.00004,0.00043,22.61,1.22429,0.0127,1,0,5,0.7778,1.3994,18,5e-05,0.75,-0.283333,2,0.0127,3.0032,0.0,1.0,0.0381,2018.01.19 09:36:05,10.00,BASKET_TP,1,0,-0.80,10.00,108,2,winner,0,0
20,2018.01.19 10:41:05,EURUSD,BUY,1,1.22781,1.22661,0.00120,1.8856,-0.00004,0.00063,15.21,1.22781,0.7847,1,10,5,0.7895,1.4986,19,-8e-05,-7.4,0.465116,3,0.7847,7.1473,0.0,2.4,5.6085,2018.01.23 14:56:32,10.01,BASKET_TP,1,0,-21.79,10.01,627,5,winner,0,1
21,2018.01.23 16:59:31,EURUSD,BUY,1,1.22825,1.22653,0.00172,2.5809,-0.00001,0.00067,25.04,1.22830,1.5594,1,16,2,0.8000,1.5979,20,3e-05,9.83,0.063492,4,1.5594,22.9848,0.624127,1.2,35.8425,2018.01.24 14:05:41,10.00,BASKET_TP,1,0,-0.07,10.00,254,1,winner,0,0
22,2018.01.24 19:52:04,EURUSD,BUY,1,1.24055,1.23823,0.00231,5.2063,0.00002,0.00044,27.94,1.24054,4.0443,1,19,3,0.8095,1.6971,21,3e-05,2.9,-0.343284,5,4.0443,9.6111,0.0,1.5,38.8701,2018.01.25 02:38:36,10.03,BASKET_TP,1,0,-3.29,10.03,81,4,winner,0,0
23,2018.01.25 13:26:19,EURUSD,SELL,1,1.24079,1.24138,-0.00058,-0.8686,0.00000,0.00067,19.14,1.24090,0.0506,1,13,4,0.8182,1.7966,22,-2e-05,-8.8,0.522727,1,0.0506,5.9399,0.0,0.2,0.3006,2018.01.25 13:35:43,10.14,BASKET_TP,1,0,-6.36,10.14,2,5,winner,0,0
24,2018.01.25 17:02:38,EURUSD,BUY,1,1.24932,1.24606,0.00326,3.9448,-0.00007,0.00083,23.66,1.24939,2.9662,1,17,4,0.8261,1.8972,23,-7e-05,4.52,0.238806,1,2.9662,13.3696,1.079403,0.7,39.6569,2018.01.25 19:05:43,-25.58,BASKET_SL,0,1,-25.58,2.12,25,5,steamroller_bsl,1,1
25,2018.01.25 23:54:03,EURUSD,SELL,1,1.23898,1.24191,-0.00292,-5.4166,-0.00002,0.00054,27.36,1.23898,-4.5123,1,23,4,0.7917,1.5132,24,5e-05,3.7,-0.349398,1,4.5123,9.5281,0.0,0.5,42.9935,2018.01.26 07:05:36,-25.24,BASKET_SL,0,1,-25.24,3.72,87,5,steamroller_bsl,1,1
26,2018.01.26 09:53:42,EURUSD,BUY,1,1.24616,1.24450,0.00166,2.3425,0.00003,0.00071,15.85,1.24622,1.1272,1,9,5,0.7600,1.2613,25,5e-05,-11.51,0.314815,1,1.1272,4.4299,0.0,0.5,4.9934,2018.01.29 12:18:27,-25.07,BASKET_SL,0,1,-25.07,3.95,317,5,steamroller_bsl,1,1
27,2018.01.29 15:31:28,EURUSD,SELL,1,1.23639,1.23854,-0.00216,-3.2085,0.00005,0.00067,28.62,1.23623,-2.4019,1,15,1,0.7308,1.0823,26,2e-05,12.77,-0.056338,1,2.4019,26.8405,0.0,0.2,64.4681,2018.01.30 08:01:46,10.11,BASKET_TP,1,0,-4.17,10.11,198,3,winner,0,0
28,2018.01.30 13:01:21,EURUSD,BUY,1,1.24239,1.23977,0.00262,4.0284,0.00003,0.00065,20.05,1.24226,2.6736,1,13,2,0.7407,1.1396,27,-2e-05,-8.57,-0.029851,1,2.6736,1.3684,0.0,0.2,3.6586,2018.01.30 13:58:29,10.20,BASKET_TP,1,0,-1.86,10.20,11,3,winner,0,0
29,2018.01.30 15:08:42,EURUSD,BUY,1,1.24366,1.24128,0.00238,2.8244,-0.00005,0.00084,18.47,1.24376,1.9330,1,15,2,0.7500,1.1973,28,-8e-05,-1.58,0.292308,2,1.933,5.2063,0.0,1.6,10.0638,2018.01.31 03:40:43,10.01,BASKET_TP,1,0,-14.89,10.01,151,5,winner,0,0
30,2018.01.31 08:49:41,EURUSD,BUY,1,1.24430,1.24298,0.00132,2.0713,0.00001,0.00064,21.87,1.24429,0.9667,1,8,3,0.7586,1.2539,29,6e-05,3.4,-0.238095,3,0.9667,9.1417,0.0,1.8,8.8373,2018.02.01 10:14:42,10.12,BASKET_TP,1,0,-16.08,10.12,305,4,winner,0,0
31,2018.02.01 10:48:39,EURUSD,BUY,1,1.24394,1.24257,0.00137,2.6619,-0.00003,0.00052,18.22,1.24398,1.5518,1,10,4,0.7667,1.3112,30,-4e-05,-3.65,-0.1875,4,1.5518,2.7879,0.0,1.6,4.3263,2018.02.01 16:13:42,10.10,BASKET_TP,1,0,-1.26,10.10,65,2,winner,0,0
32,2018.02.01 22:16:32,EURUSD,BUY,1,1.25096,1.24884,0.00212,6.0700,-0.00001,0.00035,28.99,1.25098,4.9498,4,22,4,0.7742,1.3684,31,2e-05,10.77,-0.326923,5,4.9498,25.4774,0.0,1.0,126.1083,2018.02.02 13:51:38,-25.02,BASKET_SL,0,1,-25.02,9.43,187,5,steamroller_bsl,1,1
33,2018.02.02 16:30:26,EURUSD,SELL,1,1.24372,1.24642,-0.00270,-3.5148,0.00003,0.00077,29.68,1.24372,-2.5143,1,16,5,0.7500,1.1987,32,4e-05,0.69,1.2,1,2.5143,14.9086,0.828,0.4,37.4846,2018.02.04 22:00:00,10.81,BASKET_TP,1,0,-15.14,10.81,66,5,winner,0,0
34,2018.02.04 23:30:16,EURUSD,SELL,1,1.24385,1.24533,-0.00148,-3.5719,0.00003,0.00041,19.80,1.24378,-2.6369,2,23,0,0.7576,1.2522,33,0.0,-9.88,-0.467532,2,2.6369,1.6592,0.0,0.0,4.3752,2018.02.05 14:01:00,10.01,BASKET_TP,1,0,-11.79,10.01,174,5,winner,0,0
35,2018.02.05 16:00:43,EURUSD,SELL,1,1.24206,1.24386,-0.00180,-2.5526,-0.00001,0.00071,29.10,1.24197,-1.5420,1,16,1,0.7647,1.3019,34,-4e-05,9.3,0.731707,3,1.542,28.2026,6.804878,1.2,43.4884,2018.02.06 13:03:55,10.00,BASKET_TP,1,0,-0.70,10.00,252,1,winner,0,0
36,2018.02.06 15:57:32,EURUSD,SELL,1,1.23317,1.23597,-0.00279,-3.5025,-0.00002,0.00080,19.21,1.23326,-2.2505,1,15,2,0.7714,1.3514,35,-1e-05,-9.89,0.126761,4,2.2505,3.9302,0.0,0.4,8.845,2018.02.07 10:52:27,10.04,BASKET_TP,1,0,-23.11,10.04,227,5,winner,0,1
37,2018.02.07 12:45:42,EURUSD,SELL,1,1.23473,1.23630,-0.00157,-3.4725,0.00002,0.00045,21.93,1.23464,-2.6776,1,12,3,0.7778,1.4012,36,4e-05,2.72,-0.4375,5,2.6776,9.0094,0.0,2.0,24.1236,2018.02.07 18:26:43,10.05,BASKET_TP,1,0,-0.01,10.05,68,1,winner,0,0
38,2018.02.07 19:20:58,EURUSD,SELL,1,1.22651,1.23023,-0.00372,-5.8538,0.00007,0.00064,29.76,1.22651,-4.8464,1,19,3,0.7838,1.4510,37,5e-05,7.83,0.422222,6,4.8464,24.5938,3.306,3.0,119.1915,2018.02.08 12:28:15,10.00,BASKET_TP,1,0,-4.04,10.00,205,2,winner,0,0
39,2018.02.08 13:05:00,EURUSD,SELL,1,1.22323,1.22469,-0.00146,-1.6172,0.00006,0.00090,28.16,1.22307,-0.9776,1,13,4,0.7895,1.5006,38,-1e-05,-1.6,0.40625,7,0.9776,7.9069,0.0,0.7,7.7298,2018.02.08 17:09:05,10.09,BASKET_TP,1,0,-20.96,10.09,48,5,winner,0,1
40,2018.02.08 17:42:05,EURUSD,SELL,1,1.22453,1.22538,-0.00085,-0.9881,-0.00009,0.00086,25.28,1.22453,0.0408,1,17,4,0.7949,1.5506,39,-0.00015,-2.88,-0.044444,8,0.0408,5.5102,0.0,12.0,0.2248,2018.02.09 16:17:59,10.00,BASKET_TP,1,0,-5.79,10.00,271,3,winner,0,0
41,2018.02.09 18:48:21,EURUSD,SELL,1,1.22187,1.22392,-0.00205,-3.3035,0.00004,0.00062,22.32,1.22185,-2.1550,1,18,5,0.8000,1.6002,40,0.00013,-2.96,-0.27907,9,2.155,6.3388,0.0,11.7,13.66,2018.02.12 20:19:25,-25.02,BASKET_SL,0,1,-25.02,3.13,306,5,steamroller_bsl,1,1
42,2018.02.12 22:03:00,EURUSD,BUY,1,1.22910,1.22800,0.00110,4.3034,-0.00000,0.00026,19.13,1.22907,2.7496,7,22,1,0.7805,1.4236,41,-4e-05,-3.19,-0.580645,1,2.7496,1.5874,0.0,0.4,4.3647,2018.02.13 08:32:42,10.19,BASKET_TP,1,0,-0.32,10.19,126,2,winner,0,0
43,2018.02.13 09:56:05,EURUSD,BUY,1,1.23207,1.23107,0.00100,1.7461,-0.00005,0.00057,14.89,1.23218,0.7129,1,9,2,0.7857,1.4686,42,-5e-05,-4.24,1.192308,2,0.7129,13.6013,0.0,1.0,9.6964,2018.02.14 16:00:43,10.01,BASKET_TP,1,0,-3.91,10.01,361,1,winner,0,0
44,2018.02.15 00:14:42,EURUSD,BUY,1,1.24588,1.24329,0.00259,6.9410,0.00002,0.00037,26.46,1.24593,6.0871,1,0,4,0.7907,1.5127,43,7e-05,11.57,-0.350877,3,6.0871,26.8618,0.0,2.1,163.5103,2018.02.15 07:20:29,10.02,BASKET_TP,1,0,-1.38,10.02,86,3,winner,0,0
45,2018.02.15 09:57:37,EURUSD,BUY,1,1.24903,1.24737,0.00165,2.7193,-0.00001,0.00061,16.63,1.24909,1.7831,1,9,4,0.7955,1.5569,44,-3e-05,-9.83,0.648649,4,1.7831,9.2323,0.0,1.2,16.462,2018.02.15 15:01:28,10.00,BASKET_TP,1,0,-5.72,10.00,61,4,winner,0,0
46,2018.02.15 15:18:02,EURUSD,BUY,1,1.24832,1.24786,0.00046,0.5523,-0.00001,0.00083,19.68,1.24842,-0.3288,1,15,4,0.8000,1.6010,45,0.0,3.05,0.360656,5,0.3288,12.2888,1.1,0.0,4.0405,2018.02.15 19:34:33,10.02,BASKET_TP,1,0,-3.21,10.02,51,3,winner,0,0
47,2018.02.15 22:35:30,EURUSD,BUY,1,1.25020,1.24930,0.00090,3.4598,-0.00001,0.00026,18.29,1.25024,2.5916,1,22,4,0.8043,1.6452,46,0.0,-1.39,-0.686747,6,2.5916,3.6479,0.0,0.0,9.4539,2018.02.16 04:14:40,10.07,BASKET_TP,1,0,-0.39,10.07,67,2,winner,0,0
